CPV 2007_Indicadores_20220822181815287,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Pais,Departamento,Provincia,Tema,Demográfico,Demográfico,Demográfico,Demográfico,Demográfico,Hogar,Hogar,Hogar,Hogar,Hogar,Social,Social,Social,Social,Social
 , , ,Sub Tema,Migración,Migración,Migración,Migración,Migración,Tipo Hogar,Tipo Hogar,Tipo Hogar,Tipo Hogar,Tipo Hogar,Seguro de Salud,Seguro de Salud,Seguro de Salud,Seguro de Salud,Seguro de Salud
 , , ,Descripcion,Tasa de Inmigración Reciente,Tasa de Inmigración Reciente,Tasa de Inmigración Reciente,Tasa de Inmigración Reciente,Tasa de Inmigración Reciente,Porcentaje de Hogares Unipersonales,Porcentaje de Hogares Unipersonales,Porcentaje de Hogares Unipersonales,Porcentaje de Hogares Unipersonales,Porcentaje de Hogares Unipersonales,Porcentaje de personas que tienen algún tipo de seguro,Porcentaje de personas que tienen algún tipo de seguro,Porcentaje de personas que tienen algún tipo de seguro,Porcentaje de personas que tienen algún tipo de seguro,Porcentaje de personas que tienen algún tipo de seguro
 , , ,Clase,Total,Área Urbana,Área Rural,Sexo - Hombre,Sexo - Mujer,Total,Área Urbana,Área Rural,Sexo - Hombre,Sexo - Mujer,Total,Área Urbana,Área Rural,Sexo - Hombre,Sexo - Mujer
 , , ,Indicadores,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor
Perú,Arequipa,Camaná, ,30.47,-,-,34.74,25.9,17.27,14.93,27.7,-,-,35.67,38.03,22.97,33.26,38.31
Perú,Arequipa,Caravelí, ,51.09,-,-,57.23,43.28,21.11,17.8,27.23,-,-,29.85,34.17,22.07,29.55,30.23
Perú,Arequipa,Castilla, ,33.42,-,-,39.25,27.07,20,21.15,18.39,-,-,45.5,47.55,42.78,45.14,45.9
Perú,Arequipa,Caylloma, ,29.19,-,-,30.52,27.8,20.66,19.97,21.99,-,-,37.56,38.48,35.74,37.38,37.76
Perú,Arequipa,Condesuyos, ,32.26,-,-,42.38,20.56,26.64,27.85,25.67,-,-,51.4,54.88,48.99,53.81,48.39
Perú,Arequipa,Islay, ,21.59,-,-,23.27,19.84,16.75,15.8,25.71,-,-,46.86,47.67,38.98,46.1,47.67
Perú,Arequipa,La Unión, ,12.89,-,-,13.43,12.37,22.78,24.82,20.82,-,-,56.53,59.58,53.69,55.73,57.31
Perú,Ayacucho,Cangallo, ,7.14,-,-,8.74,5.68,20.12,20.82,19.75,-,-,69.32,64.94,71.66,67.14,71.32
Perú,Ayacucho,Huamanga, ,19.03,-,-,20.46,17.69,13.65,13.26,14.67,-,-,54.51,47.57,73.27,53.11,55.83
Perú,Ayacucho,Huanca Sancos, ,11.03,-,-,14.48,7.84,29.26,23.64,38.99,-,-,69.31,69.45,69.03,65.69,72.73
Perú,Ayacucho,Huanta, ,12.63,-,-,14.91,10.43,14.02,11.93,15.68,-,-,49.79,41.23,57.05,47.99,51.57
Perú,Ayacucho,La Mar, ,10.56,-,-,12.06,8.98,16.65,14.39,18.15,-,-,50.69,39.75,58.25,48.82,52.7
Perú,Ayacucho,Lucanas, ,15.3,-,-,18.38,12.1,25.24,21.64,29.66,-,-,45.91,48.83,41.76,44.45,47.47
Perú,Ayacucho,Parinacochas, ,19.13,-,-,22.68,15.58,22.32,17.95,27.6,-,-,66.63,65.57,68.09,63.86,69.45
Perú,Ayacucho,Páucar del Sara Sara, ,27.09,-,-,31.32,22.8,24.94,22.95,29.01,-,-,51.29,51.51,50.83,48.83,53.82
Perú,Ayacucho,Sucre, ,13.33,-,-,14.85,11.86,25.18,23.41,27.75,-,-,72.29,70.63,74.9,70.83,73.71
Perú,Ayacucho,Víctor Fajardo, ,12.59,-,-,17.05,8.53,27.9,25.4,34.04,-,-,65.17,66,62.77,65.48,64.88
Perú,Ayacucho,Vilcas Huamán, ,8.68,-,-,10.24,7.23,23.76,27.06,22.25,-,-,53.35,47.69,55.97,52.89,53.79
Perú,Cajamarca,Cajabamba, ,6.71,-,-,7.22,6.23,9.16,10.04,8.85,-,-,37.84,38.33,37.68,37.98,37.71
Perú,Cajamarca,Cajamarca, ,16.75,-,-,18.13,15.44,8.63,9.43,7.6,-,-,35.94,39.66,31.35,37.1,34.82
Perú,Cajamarca,Celendín, ,4.94,-,-,5.21,4.68,9.9,12.01,9.16,-,-,44.45,39.86,45.99,43.19,45.67
Perú,Cajamarca,Chota, ,4.31,-,-,4.99,3.66,9.8,14.75,8.38,-,-,36.89,41.71,35.68,37.38,36.43
Perú,Cajamarca,Contumazá, ,9.01,-,-,9.31,8.71,14.41,14.81,14.11,-,-,45.7,49.5,42.91,43.42,48.08
Perú,Cajamarca,Cutervo, ,4.23,-,-,4.27,4.19,7.72,11.35,6.73,-,-,71.32,53.74,75.56,69.19,73.47
Perú,Cajamarca,Hualgayoc, ,5.39,-,-,7.11,3.77,9.08,13,7.93,-,-,31.25,34.84,30.2,33.26,29.37
Perú,Cajamarca,Jaén, ,15.33,-,-,15.77,14.87,10.35,12.38,8.05,-,-,47.04,43.74,50.35,44.7,49.5
Perú,Cajamarca,San Ignacio, ,10.25,-,-,11,9.4,10,12.54,9.47,-,-,55.01,53.14,55.36,50.71,59.88
Perú,Cajamarca,San Marcos, ,8.24,-,-,8.83,7.64,11.66,14.54,10.91,-,-,45.05,43.34,45.56,44.4,45.71
Perú,Cajamarca,San Miguel, ,5.29,-,-,5.96,4.63,11.01,16.17,9.89,-,-,45.29,46.56,45.04,44.4,46.16
Perú,Cajamarca,San Pablo, ,4.69,-,-,4.55,4.82,10.72,15.2,9.79,-,-,42.44,42.77,42.38,41.86,42.98
Perú,Cajamarca,Santa Cruz, ,6.23,-,-,6.54,5.92,9.99,13.84,8.93,-,-,38.62,47.16,36.36,38.68,38.56
Perú,Cusco,Acomayo, ,7.55,-,-,8.62,6.52,21.27,22.88,19.32,-,-,55.88,50.62,61.77,56.06,55.7
Perú,Cusco,Anta, ,9.92,-,-,9.89,9.96,13.56,14.4,13.09,-,-,50.79,42.43,55.37,50.47,51.12
Perú,Cusco,Calca, ,8.96,-,-,9.47,8.45,13.3,15.12,12.28,-,-,50.37,39.51,56.3,49.63,51.11
Perú,Cusco,Canas, ,4.82,-,-,5.31,4.33,17.27,22.84,16.08,-,-,56.92,44.57,59.28,55.76,58.08
Perú,Cusco,Canchis, ,11.51,-,-,12.37,10.71,17.42,15.72,19.82,-,-,42.34,42.12,42.68,41.91,42.74
Perú,Cusco,Chumbivílcas, ,6.61,-,-,7.31,5.9,15.67,19.02,14.59,-,-,73.23,60.93,76.94,71.38,75.13
Perú,Cusco,Cusco, ,26.31,-,-,26.27,26.35,13.53,13.56,12.98,-,-,38.94,38.35,51.85,38.81,39.06
Perú,Cusco,Espinar, ,11.38,-,-,13.52,9.22,17.75,16.58,18.67,-,-,42.38,42.32,42.44,43.44,41.32
